lang,category,keyword,searchVolume,kd,cpc,competition,competitionIndex,demandStatus
de,style,Braut Make-up,4400,,1.23,LOW,18,confirmed-demand
de,demographic,Make-up für reife Haut,1600,0,1.06,HIGH,100,confirmed-demand
de,style,natürliches Make-up,1300,,1.83,HIGH,99,confirmed-demand
de,style,Glow Make-up,1000,,0.96,HIGH,100,confirmed-demand
de,style,Abend-Make-up,880,,1.03,LOW,9,confirmed-demand
de,style,Nude Make-up,720,,1.23,HIGH,88,confirmed-demand
de,demographic,welche Farbe steht mir,590,0,0.73,MEDIUM,35,confirmed-demand
de,tutorial,Make-up für Anfänger,480,0,0.8,HIGH,97,confirmed-demand
de,ai_tech,welches Make-up passt zu mir,480,13,1.62,HIGH,80,confirmed-demand
de,product,Make-up für empfindliche Haut,320,0,1.26,HIGH,100,confirmed-demand
de,tutorial,Grundausstattung Make-up,170,0,0.63,MEDIUM,40,confirmed-demand
de,ai_tech,Unterton Haut bestimmen,170,0,1.23,MEDIUM,53,confirmed-demand
de,style,dezent schminken,140,0,0.52,MEDIUM,64,confirmed-demand
de,style,Alltags-Make-up,110,,0.98,HIGH,83,confirmed-demand
de,ai_tech,Hautanalyse KI,110,2,2.24,HIGH,79,confirmed-demand
de,style,elegantes Make-up,70,,0.62,LOW,10,confirmed-demand
de,scenario,Bewerbungsfoto Make-up,70,,,LOW,4,confirmed-demand
de,scenario,festliches Make-up,70,,,MEDIUM,62,confirmed-demand
de,demographic,Make-up für runde Gesichter,70,,1.1,MEDIUM,36,confirmed-demand
de,demographic,Make-up für helle Haut,70,,0.82,HIGH,100,confirmed-demand
de,scenario,Foto-Make-up,50,,,LOW,8,confirmed-demand
de,product,günstige Make-up Pinsel,50,,0.39,HIGH,100,confirmed-demand
de,product,Kajal vs. Eyeliner,50,,0.5,LOW,4,confirmed-demand
de,style,frischer Teint,40,,0.51,HIGH,91,confirmed-demand
de,tutorial,günstige Make-up Produkte,40,,0.89,HIGH,100,confirmed-demand
de,demographic,Make-up für schlupflider,30,,0.57,MEDIUM,55,confirmed-demand
de,ai_tech,Make-up Simulator,30,,1.65,MEDIUM,50,confirmed-demand
de,scenario,Date Make-up,20,,,LOW,0,confirmed-demand
de,demographic,passende Lippenstiftfarbe finden,20,,0.96,MEDIUM,66,confirmed-demand
de,tutorial,5 Minuten Make-up,20,,1.63,MEDIUM,50,confirmed-demand
de,product,Make-up Grundausstattung Liste,20,,0.55,LOW,16,confirmed-demand
de,product,Augen Make-up Tipps,20,,0.77,MEDIUM,54,confirmed-demand
de,style,Clean Beauty Look,10,,,,,confirmed-demand
de,scenario,Make-up fürs Büro,10,,0.94,HIGH,100,confirmed-demand
de,scenario,Vorstellungsgespräch Make-up,10,,,LOW,0,confirmed-demand
de,scenario,Hochzeit Make-up Gast,10,,3.09,LOW,21,confirmed-demand
de,scenario,Make-up für den Alltag,10,,0.49,HIGH,100,confirmed-demand
de,tutorial,schminken lernen Schritt für Schritt,10,,1.38,HIGH,100,confirmed-demand
de,tutorial,einfaches Make-up Tutorial,10,,0.73,MEDIUM,38,confirmed-demand
de,ai_tech,KI Make-up Beratung,10,,1.54,MEDIUM,50,confirmed-demand
de,ai_tech,Typberatung Make-up,10,,1.6,MEDIUM,66,confirmed-demand
de,product,vegane Make-up Produkte,10,,1.31,HIGH,100,confirmed-demand
de,trust,DSGVO konforme App,10,,,HIGH,67,confirmed-demand
de,style,dezenter Augenschmink,0,,,,,no-demand
de,style,sanfter Glam Look,0,,,,,no-demand
de,style,Matte Haut Make-up,0,,,,,no-demand
de,scenario,Reisepass-Foto Make-up,0,,,,,no-demand
de,scenario,schnelles Make-up morgens,0,,,,,no-demand
de,demographic,Make-up für ovale Gesichter,0,,,,,no-demand
de,demographic,Make-up für warme Hauttöne,0,,,,,no-demand
de,demographic,Make-up für kühle Hauttöne,0,,,,,no-demand
de,demographic,Make-up für olivenfarbene Haut,0,,,,,no-demand
de,demographic,Gesichtsform erkennen Make-up,0,,,,,no-demand
de,tutorial,schnell schminken für Anfänger,0,,,,,no-demand
de,tutorial,Make-up Reihenfolge richtig,0,,,,,no-demand
de,tutorial,Schminktipps für Einsteiger,0,,,,,no-demand
de,tutorial,häufige Schminkfehler,0,,,,,no-demand
de,ai_tech,KI Make-up Test,0,,,,,no-demand
de,ai_tech,virtuelles Make-up Testen,0,,,,,no-demand
de,ai_tech,passende Lippenstiftfarben KI,0,,,,,no-demand
de,ai_tech,persönliche Farbberatung online,0,,,,,no-demand
de,ai_tech,Farbsaison bestimmen,0,,,,,no-demand
de,product,beste Lippenstift 2026,0,,,,,no-demand
de,product,Drogerie Make-up Empfehlungen,0,,,,,no-demand
de,product,langlebiger Lippenstift,0,,,,,no-demand
de,product,beste Foundation für meinen Hautton,0,,,,,no-demand
de,trust,Make-up App Datenschutz,0,,,,,no-demand
de,trust,sichere Beauty App,0,,,,,no-demand
de,trust,Foto nur lokal verarbeiten,0,,,,,no-demand
de,trust,keine Daten speichern Beauty,0,,,,,no-demand
en,product,clean beauty products,27100,8,2.79,MEDIUM,60,confirmed-demand
en,style,natural makeup look,22200,4,1.77,LOW,33,confirmed-demand
en,style,minimalist makeup,14800,0,4.63,LOW,13,confirmed-demand
en,demographic,makeup for hooded eyes,14800,0,1.02,MEDIUM,63,confirmed-demand
en,style,soft glam makeup,9900,0,0.48,LOW,14,confirmed-demand
en,style,bridal makeup,9900,16,2.59,LOW,19,confirmed-demand
en,demographic,makeup for mature skin,5400,0,4.71,HIGH,100,confirmed-demand
en,demographic,makeup for olive skin tone,5400,0,2.58,LOW,33,confirmed-demand
en,product,best concealer for dark circles,5400,0,1.4,HIGH,100,confirmed-demand
en,scenario,prom makeup,4400,0,1.83,LOW,8,confirmed-demand
en,style,no-makeup makeup look,3600,5,5.59,HIGH,75,confirmed-demand
en,tutorial,makeup tutorial for beginners,3600,1,1.24,LOW,30,confirmed-demand
en,tutorial,makeup order of application,2400,1,1.06,LOW,12,confirmed-demand
en,product,long-wearing lipstick,2400,,0.96,HIGH,100,confirmed-demand
en,demographic,makeup for fair skin,1900,0,3.54,HIGH,93,confirmed-demand
en,ai_tech,before and after makeup,1900,0,,LOW,0,confirmed-demand
en,style,dewy skin makeup,1600,4,1.55,MEDIUM,35,confirmed-demand
en,style,glowy makeup,1600,0,2.12,HIGH,87,confirmed-demand
en,scenario,wedding guest makeup,1600,0,1.86,LOW,31,confirmed-demand
en,demographic,makeup for round face,1600,0,0.91,LOW,9,confirmed-demand
en,tutorial,how to apply makeup step by step,1600,0,0.96,MEDIUM,46,confirmed-demand
en,scenario,passport photo makeup,1300,6,,LOW,1,confirmed-demand
en,scenario,graduation makeup,1300,0,1.56,LOW,6,confirmed-demand
en,style,editorial makeup,1000,0,,LOW,1,confirmed-demand
en,product,makeup dupes,1000,0,0.55,HIGH,76,confirmed-demand
en,demographic,makeup for heart shaped face,880,0,7.75,LOW,4,confirmed-demand
en,style,glass skin makeup,720,0,1.67,HIGH,88,confirmed-demand
en,demographic,makeup for dark skin,720,0,1.96,HIGH,95,confirmed-demand
en,style,cloud skin makeup,590,0,0.59,LOW,20,confirmed-demand
en,demographic,makeup for oval face,590,0,0.16,LOW,9,confirmed-demand
en,product,makeup brushes for beginners,590,0,0.74,HIGH,94,confirmed-demand
en,scenario,interview makeup,480,0,,LOW,1,confirmed-demand
en,demographic,makeup for square face,480,0,,LOW,5,confirmed-demand
en,ai_tech,AI makeup app,480,23,3.3,MEDIUM,40,confirmed-demand
en,style,matte makeup look,390,0,0.99,MEDIUM,40,confirmed-demand
en,demographic,contouring for face shape,390,0,0.36,LOW,25,confirmed-demand
en,tutorial,beginner makeup routine,390,1,2.1,HIGH,68,confirmed-demand
en,tutorial,how to do natural makeup,390,9,1.12,MEDIUM,35,confirmed-demand
en,style,everyday makeup routine,320,14,4.3,HIGH,70,confirmed-demand
en,ai_tech,what makeup looks good on me,260,0,4.77,LOW,32,confirmed-demand
en,ai_tech,virtual makeover,260,6,3.58,MEDIUM,41,confirmed-demand
en,product,best mascara for hooded eyes,260,0,2.5,HIGH,100,confirmed-demand
en,style,date night makeup,210,0,0.66,MEDIUM,42,confirmed-demand
en,tutorial,basic makeup essentials,210,2,1.4,HIGH,92,confirmed-demand
en,scenario,nighttime makeup look,140,1,0.02,LOW,8,confirmed-demand
en,scenario,first date makeup,110,0,,LOW,8,confirmed-demand
en,scenario,vacation makeup,110,8,2.07,HIGH,100,confirmed-demand
en,ai_tech,what makeup suits me,110,0,4.7,MEDIUM,38,confirmed-demand
en,demographic,best lipstick for cool undertone,90,,1.26,HIGH,100,confirmed-demand
en,tutorial,easy everyday makeup,90,2,2.68,HIGH,100,confirmed-demand
en,product,drugstore vs high-end makeup,90,0,1.12,MEDIUM,40,confirmed-demand
en,scenario,office makeup look,70,0,,LOW,21,confirmed-demand
en,product,best lipstick 2026,70,0,1.23,HIGH,100,confirmed-demand
en,tutorial,drugstore makeup for beginners,50,2,0.01,MEDIUM,36,confirmed-demand
en,ai_tech,AI makeup try-on,50,15,4.38,MEDIUM,35,confirmed-demand
en,demographic,best lipstick for warm undertone,40,,1.06,HIGH,100,confirmed-demand
en,demographic,makeup for single eyelids,30,,0.58,LOW,25,confirmed-demand
en,style,daytime glam,10,,,LOW,4,confirmed-demand
en,scenario,work makeup tutorial,10,10,,LOW,2,confirmed-demand
en,scenario,quick 5-minute makeup,10,,2.13,HIGH,100,confirmed-demand
en,tutorial,10 minute makeup tutorial,10,,1.07,LOW,3,confirmed-demand
en,tutorial,makeup mistakes to avoid,10,36,,LOW,7,confirmed-demand
en,ai_tech,virtual makeup tester,10,,,,,confirmed-demand
en,ai_tech,AI beauty advisor,10,,,MEDIUM,33,confirmed-demand
en,ai_tech,shade match AI,10,,1.15,MEDIUM,55,confirmed-demand
en,ai_tech,personal color analysis AI,10,,1.93,LOW,24,confirmed-demand
en,product,best foundation for my skin tone,10,,5.11,HIGH,90,confirmed-demand
en,product,affordable makeup essentials,10,,0.45,LOW,26,confirmed-demand
en,style,clean girl makeup,0,,,,,no-demand
en,scenario,photo makeup / photoshoot makeup,0,,,,,no-demand
en,demographic,makeup for big eyes / small eyes,0,,,,,no-demand
en,ai_tech,makeup filter AI,0,,,,,no-demand
en,ai_tech,AI face analysis makeup,0,,,,,no-demand
en,ai_tech,personalized makeup recommendation,0,,,,,no-demand
en,ai_tech,find my perfect makeup,0,,,,,no-demand
es,style,maquillaje natural,5400,2,0.86,HIGH,98,confirmed-demand
es,style,maquillaje de día,880,0,0.3,MEDIUM,49,confirmed-demand
es,regional,maquillaje de carnaval,880,0,,LOW,19,confirmed-demand
es,style,maquillaje de noche,590,0,0.43,LOW,16,confirmed-demand
es,tutorial,maquillaje paso a paso,480,5,0.53,MEDIUM,53,confirmed-demand
es,style,maquillaje glow,390,0,0.19,HIGH,100,confirmed-demand
es,style,maquillaje nude,320,,0.1,HIGH,70,confirmed-demand
es,style,maquillaje elegante,260,0,0.77,LOW,19,confirmed-demand
es,demographic,maquillaje para piel grasa,260,0,0.4,HIGH,100,confirmed-demand
es,demographic,maquillaje para piel madura,210,0,0.48,HIGH,100,confirmed-demand
es,tutorial,orden de maquillaje,210,0,0.45,LOW,18,confirmed-demand
es,product,rubor en crema,210,0,0.13,HIGH,100,confirmed-demand
es,style,piel luminosa,170,0,0.41,HIGH,74,confirmed-demand
es,scenario,maquillaje para graduación,170,0,0.91,LOW,11,confirmed-demand
es,tutorial,maquillaje fácil y rápido,170,7,0.8,MEDIUM,60,confirmed-demand
es,tutorial,maquillaje para principiantes,140,0,0.57,HIGH,92,confirmed-demand
es,tutorial,maquillaje de ojos fácil,140,3,0.46,MEDIUM,43,confirmed-demand
es,style,maquillaje editorial,110,0,,LOW,0,confirmed-demand
es,scenario,maquillaje para fiesta,110,0,0.63,MEDIUM,44,confirmed-demand
es,demographic,maquillaje para piel seca,110,0,0.38,HIGH,89,confirmed-demand
es,ai_tech,antes y después maquillaje,90,0,,LOW,7,confirmed-demand
es,style,maquillaje soft glam,70,,0.05,LOW,13,confirmed-demand
es,scenario,maquillaje para fotos,70,0,0.02,LOW,6,confirmed-demand
es,demographic,maquillaje para piel morena,70,0,0.11,HIGH,96,confirmed-demand
es,demographic,maquillaje para ojos pequeños,70,0,1.13,MEDIUM,55,confirmed-demand
es,style,labios jugosos,50,0,0.35,HIGH,84,confirmed-demand
es,demographic,maquillaje para cara redonda,50,0,,LOW,20,confirmed-demand
es,product,labial de larga duración,50,,0.55,HIGH,100,confirmed-demand
es,style,maquillaje minimalista,40,46,,MEDIUM,51,confirmed-demand
es,demographic,maquillaje para cara ovalada,40,14,,LOW,12,confirmed-demand
es,tutorial,maquillaje natural para principiantes,40,0,0.63,HIGH,84,confirmed-demand
es,ai_tech,análisis de color personal,40,,0.61,MEDIUM,39,confirmed-demand
es,demographic,maquillaje para piel clara,30,49,0.21,HIGH,100,confirmed-demand
es,demographic,maquillaje para párpados caídos,30,0,0.34,HIGH,72,confirmed-demand
es,style,maquillaje monocromático,20,13,,LOW,31,confirmed-demand
es,scenario,maquillaje para el trabajo,20,13,,LOW,10,confirmed-demand
es,scenario,maquillaje para entrevista de trabajo,20,14,,LOW,6,confirmed-demand
es,demographic,maquillaje para cara cuadrada,20,49,,LOW,30,confirmed-demand
es,demographic,maquillaje para cara alargada,20,24,0.31,LOW,30,confirmed-demand
es,ai_tech,simulador de maquillaje,20,,0.97,LOW,19,confirmed-demand
es,scenario,maquillaje para una cita,10,,,LOW,14,confirmed-demand
es,regional,maquillaje para quinceañera,10,51,,LOW,2,confirmed-demand
es,scenario,maquillaje para la oficina,10,49,,MEDIUM,66,confirmed-demand
es,tutorial,maquillaje con 5 productos,10,,,,,confirmed-demand
es,tutorial,rutina de maquillaje diaria,10,,0.86,HIGH,67,confirmed-demand
es,tutorial,errores de maquillaje,10,50,,LOW,0,confirmed-demand
es,tutorial,maquillaje básico diario,10,,0.36,HIGH,100,confirmed-demand
es,tutorial,técnicas de contorno,10,,,,,confirmed-demand
es,ai_tech,prueba de maquillaje virtual,10,,1.2,HIGH,86,confirmed-demand
es,ai_tech,encontrar mi tono de base,10,,1.25,MEDIUM,50,confirmed-demand
es,product,brochas de maquillaje para principiantes,10,,0.43,HIGH,100,confirmed-demand
es,product,labial nude caramelo,10,,,HIGH,71,confirmed-demand
es,product,paleta de sombras multifuncional,10,,,,,confirmed-demand
es,product,delineador para principiantes,10,,,HIGH,100,confirmed-demand
es,regional,maquillaje para piel trigueña,10,,,MEDIUM,62,confirmed-demand
es,regional,maquillaje para mestizas,10,,,,,confirmed-demand
es,style,maquillaje bridal / maquillaje de novia,0,,,,,no-demand
es,style,maquillaje bronceado / bronzed glow,0,,,,,no-demand
es,scenario,maquillaje para primer encuentro,0,,,,,no-demand
es,scenario,maquillaje para boda de invitada,0,,,,,no-demand
es,scenario,maquillaje rápido para todos los días,0,,,,,no-demand
es,demographic,labial para tono cálido,0,,,,,no-demand
es,demographic,labial para tono frío,0,,,,,no-demand
es,demographic,qué labial me queda,0,,,,,no-demand
es,demographic,maquillaje según forma de tu rostro,0,,,,,no-demand
es,tutorial,cómo maquillarse para el trabajo,0,,,,,no-demand
es,ai_tech,probador de maquillaje con IA,0,,,,,no-demand
es,ai_tech,qué maquillaje me queda,0,,,,,no-demand
es,ai_tech,diagnóstico de piel IA,0,,,,,no-demand
es,ai_tech,IA maquillage / IA maquillaje,0,,,,,no-demand
es,ai_tech,asesor de belleza IA,0,,,,,no-demand
es,ai_tech,colorimetría personal online,0,,,,,no-demand
es,ai_tech,test de maquillaje en línea,0,,,,,no-demand
es,product,mejor labial 2026,0,,,,,no-demand
es,product,mejor base para mi tono de piel,0,,,,,no-demand
es,product,maquillaje económico recomendado,0,,,,,no-demand
es,product,rosa empolvado labial,0,,,,,no-demand
es,product,maquillaje farmacia recomendación,0,,,,,no-demand
es,product,dupas de maquillaje,0,,,,,no-demand
es,regional,maquillaje Sephora vs farmacia,0,,,,,no-demand
es,regional,maquillaje Mercadona / Druni,0,,,,,no-demand
fr,style,maquillage mariée,3600,0,0.49,LOW,18,confirmed-demand
fr,style,maquillage naturel,2400,0,2.09,HIGH,100,confirmed-demand
fr,scenario,maquillage invité mariage,1600,0,0.41,LOW,20,confirmed-demand
fr,style,maquillage nude,1300,0,0.64,HIGH,71,confirmed-demand
fr,demographic,maquillage pour paupières tombantes,1000,0,0.26,MEDIUM,45,confirmed-demand
fr,scenario,maquillage soirée,720,0,0.35,LOW,29,confirmed-demand
fr,product,rouge à lèvres longue tenue,480,0,0.49,HIGH,100,confirmed-demand
fr,scenario,maquillage pour photo,390,0,0.8,LOW,6,confirmed-demand
fr,demographic,maquillage peau mature,320,0,1.23,HIGH,100,confirmed-demand
fr,product,maquillage bio / naturel,320,8,1.63,HIGH,100,confirmed-demand
fr,style,maquillage de soirée,260,0,0.38,LOW,26,confirmed-demand
fr,scenario,maquillage de jour,170,0,0.3,HIGH,71,confirmed-demand
fr,demographic,maquillage pour peau mate,170,0,0.76,HIGH,88,confirmed-demand
fr,tutorial,apprendre à se maquiller,170,0,0.74,HIGH,70,confirmed-demand
fr,style,teint lumineux,140,0,1.55,HIGH,98,confirmed-demand
fr,demographic,maquillage peau sensible,140,0,0.96,HIGH,100,confirmed-demand
fr,style,maquillage élégant,110,0,,MEDIUM,38,confirmed-demand
fr,demographic,maquillage pour visage rond,110,0,,LOW,11,confirmed-demand
fr,demographic,choisir son fond de teint,110,0,0.48,HIGH,99,confirmed-demand
fr,tutorial,tuto maquillage facile,90,2,0.31,LOW,10,confirmed-demand
fr,style,teint frais,70,0,,MEDIUM,65,confirmed-demand
fr,product,dupes maquillage,70,0,0.36,HIGH,100,confirmed-demand
fr,style,maquillage minimaliste,50,0,0.79,HIGH,93,confirmed-demand
fr,demographic,maquillage pour peau claire,50,0,0.47,HIGH,100,confirmed-demand
fr,demographic,quelle couleur me va,50,0,0.53,LOW,23,confirmed-demand
fr,ai_tech,IA maquillage,40,,0.64,LOW,19,confirmed-demand
fr,scenario,maquillage entretien d'embauche,30,0,,LOW,0,confirmed-demand
fr,style,teint parfait naturel,20,52,1.13,HIGH,100,confirmed-demand
fr,style,look glowy,10,,,LOW,12,confirmed-demand
fr,style,maquillage doux,10,,3.9,HIGH,76,confirmed-demand
fr,scenario,maquillage pour le bureau,10,,,MEDIUM,50,confirmed-demand
fr,scenario,maquillage premier rendez-vous,10,48,,,,confirmed-demand
fr,scenario,maquillage rapide matin,10,,,,,confirmed-demand
fr,scenario,maquillage vacances,10,,,HIGH,89,confirmed-demand
fr,tutorial,maquillage pour débutantes,10,,,,,confirmed-demand
fr,tutorial,maquillage en 5 minutes,10,,,LOW,1,confirmed-demand
fr,tutorial,produits maquillage essentiels,10,,,,,confirmed-demand
fr,ai_tech,test maquillage virtuel,10,,0.13,MEDIUM,43,confirmed-demand
fr,ai_tech,quel maquillage pour moi,10,49,0.63,MEDIUM,54,confirmed-demand
fr,ai_tech,simulation maquillage en ligne,10,,,LOW,0,confirmed-demand
fr,ai_tech,conseil maquillage personnalisé,10,,2.43,HIGH,67,confirmed-demand
fr,style,maquillage éditorial,0,,,,,no-demand
fr,style,maquillage clean girl,0,,,,,no-demand
fr,scenario,maquillage bal,0,,,,,no-demand
fr,demographic,rouge à lèvres pour teint chaud,0,,,,,no-demand
fr,demographic,rouge à lèvres pour teint froid,0,,,,,no-demand
fr,tutorial,ordre maquillage étapes,0,,,,,no-demand
fr,tutorial,routine maquillage quotidienne,0,,,,,no-demand
fr,tutorial,erreurs maquillage à éviter,0,,,,,no-demand
fr,tutorial,maquillage naturel pas à pas,0,,,,,no-demand
fr,tutorial,maquillage pas cher débutant,0,,,,,no-demand
fr,ai_tech,essayage virtuel rouge à lèvres,0,,,,,no-demand
fr,ai_tech,diagnostic teint IA,0,,,,,no-demand
fr,ai_tech,analyse visage maquillage,0,,,,,no-demand
